RESULTADOS DE LA FORMACIÓN - ASIGNATURAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CURSO,TITULACIÓN,COD. TITULACIÓN,ID,ASIGNATURA,ESTUD. MATRICULADOS,CRÉDITOS ASIG.,CRÉDITOS MATRICULADOS,CRÉD. MATRI. 1ª VEZ,CRÉD. MATRI. 2ª VEZ,CRÉD. MATRI. 3ª VEZ,CRÉDITOS PRESENTADOS,CRÉDITOS SUPERADOS,CRÉDITOS RECONOCIDOS,TASA EVALUACIÓN,VAR. % TASA EVAL.,TASA ÉXITO,VAR. % TASA ÉXIT.,TASA ÉXITO EXÁM. REALIZ.,VAR. % ÉXITO EXÁM.,TASA RENDIMIENTO,VAR. % TASA REND.,TASA RECONCIMIENTO,NOTA MEDIA,% SUSPENSOS,% APROBADOS,% NOTABLES,% SOBRESALIENTES,% MATRÍCULAS H.,Nº EXÁM. REALIZADOS,Nº EXÁM. APTOS,% ESTUD. 0 EXÁM.,% ESTUD. 1 EXÁM.,% ESTUD. 2 EXÁM.,% ESTUD. 3 EXÁM.,% ESTUD. 4 EXÁM.,% ESTUD. 5 EXÁM.,Nº EXÁM. REALIZADOS 1PPF,Nº EXÁM. APTOS 1PPF,Nº EXÁM. REALIZADOS 2PPJ,Nº EXÁM. APTOS 2PPJ,Nº EXÁM. REALIZADOS 1PPS,Nº EXÁM. APTOS 1PPS,Nº EXÁM. REALIZADOS 2PPS,Nº EXÁM. APTOS 2PPS,Nº EXÁM. REALIZADOS DIC,Nº EXÁM. APTOS DIC,% ÉXITO 1PPF,% ÉXITO 2PPJ,% ÉXITO 1PPS,% ÉXITO 2PPS,% ÉXITO DIC.,RATIO EXÁM. ESTUD.,FECHA DESCARGA EXCEL,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61021016,ÁLGEBRA LINEAL I,358,6,2148,1704,348,96,750,630,1344,"34,92","2,31",84,"1,99","57,07",0,"29,33","4,34","38,49","7,56",16,"38,40","20,80","19,20","5,60",184,105,"56,15","36,31","7,54",0,0,0,148,89,0,0,36,16,0,0,0,0,"60,14",,"44,44",,,"0,51",16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61021068,ÁLGEBRA LINEAL II,421,6,2526,1848,510,168,738,558,888,"29,22","-14,39","75,61","-8,2","46,50","-18,52","22,09","-21,42","26,01","6,49","24,39","51,22","16,26","4,88","3,25",200,93,"64,45","23,70","11,85",0,0,0,0,0,134,57,0,0,66,36,0,0,,"42,54",,"54,55",,"0,48",16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61022091,ÁLGEBRA (MATEMÁTICAS),159,6,954,756,198,0,276,204,354,"28,93","-15,24","73,91","-10,26","50,75","-11,07","21,38","-23,94","27,06","6,85","26,09","32,61","32,61","4,35","4,35",67,34,"64,78","28,30","6,92",0,0,0,0,0,43,22,0,0,24,12,0,0,,"51,16",,50,,"0,42",16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61024090,AMPLIACIÓN DE TOPOLOGÍA,0,5,0,0,0,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61024032,AMPLIACIÓN DE VARIABLE COMPLEJA,0,5,0,0,0,0,0,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61023073,ANÁLISIS DE FOURIER Y ECUACIONES EN DERIVADAS PARCIALES,39,6,234,234,0,0,96,96,498,"41,03","20,22",100,"21,42","84,21","47,56","41,03","45,96","68,03","6,79",0,"43,75","18,75",25,"12,50",19,16,"53,85","43,59","2,56",0,0,0,0,0,14,11,0,0,5,5,0,0,,"78,57",,100,,"0,49",16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61024173,ANÁLISIS MULTIVARIANTE (MATEMÁTICAS),0,5,0,0,0,0,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61022085,ANÁLISIS NUMÉRICO MATRICIAL E INTERPOLACIÓN,114,6,684,540,144,0,288,240,450,"42,11","23,38","83,33","1,18","64,52","13,05","35,09","24,83","39,68","7,04","16,67","41,67","29,17","10,42","2,08",62,40,"52,63","40,35","7,02",0,0,0,0,0,44,30,0,0,18,10,0,0,,"68,18",,"55,56",,"0,54",16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61044112,ASTROFÍSICA GENERAL,0,5,0,0,0,0,0,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/2016 0:33:17,
2013,6102 - GRADO EN MATEMÁTICAS,6102,61022033,CÁLCULO DE PROBABILIDADES I,187,6,1122,816,306,0,390,270,504,"34,76","1,85","69,23","-15,94","38,79","-32,03","24,06","-14,41",31,"7,05","30,77","35,38",20,"10,77","3,08",116,45,"52,41","33,16","14,44",0,0,0,69,18,0,0,47,27,0,0,0,0,"26,09",,"57,45",,,"0,62",16/09/2016 0:33:17,
