RESULTADOS DE LA FORMACIÓN - ASIGNATURAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CURSO,TITULACIÓN,COD. TITULACIÓN,ID,ASIGNATURA,ESTUD. MATRICULADOS,CRÉDITOS ASIG.,CRÉDITOS MATRICULADOS,CRÉD. MATRI. 1ª VEZ,CRÉD. MATRI. 2ª VEZ,CRÉD. MATRI. 3ª VEZ,CRÉDITOS PRESENTADOS,CRÉDITOS SUPERADOS,CRÉDITOS RECONOCIDOS,TASA EVALUACIÓN,VAR. % TASA EVAL.,TASA ÉXITO,VAR. % TASA ÉXIT.,TASA ÉXITO EXÁM. REALIZ.,VAR. % ÉXITO EXÁM.,TASA RENDIMIENTO,VAR. % TASA REND.,TASA RECONCIMIENTO,NOTA MEDIA,% SUSPENSOS,% APROBADOS,% NOTABLES,% SOBRESALIENTES,% MATRÍCULAS H.,Nº EXÁM. REALIZADOS,Nº EXÁM. APTOS,% ESTUD. 0 EXÁM.,% ESTUD. 1 EXÁM.,% ESTUD. 2 EXÁM.,% ESTUD. 3 EXÁM.,% ESTUD. 4 EXÁM.,% ESTUD. 5 EXÁM.,Nº EXÁM. REALIZADOS 1PPF,Nº EXÁM. APTOS 1PPF,Nº EXÁM. REALIZADOS 2PPJ,Nº EXÁM. APTOS 2PPJ,Nº EXÁM. REALIZADOS 1PPS,Nº EXÁM. APTOS 1PPS,Nº EXÁM. REALIZADOS 2PPS,Nº EXÁM. APTOS 2PPS,Nº EXÁM. REALIZADOS DIC,Nº EXÁM. APTOS DIC,% ÉXITO 1PPF,% ÉXITO 2PPJ,% ÉXITO 1PPS,% ÉXITO 2PPS,% ÉXITO DIC.,RATIO EXÁM. ESTUD.,FECHA DESCARGA EXCEL,
2012,6102 - GRADO EN MATEMÁTICAS,6102,61021016,ÁLGEBRA LINEAL I,411,6,2466,2058,408,0,708,552,1266,"28,71","6,22","77,97","-2,26","50,55","-3,77","22,38","3,8","33,92","6,61","22,03","33,90","25,42","9,32","9,32",182,92,"61,31","33,09","5,60",0,0,0,142,78,0,0,40,14,0,0,0,0,"54,93",,35,,,"0,44",16/09/2016 0:36:24,
2012,6102 - GRADO EN MATEMÁTICAS,6102,61021068,ÁLGEBRA LINEAL II,432,6,2592,2022,570,0,654,396,816,"25,23","-6,66","60,55","-24,09","37,71","-28,21","15,28","-29,13","23,94","6,40","39,45","35,78","14,68","6,42","3,67",175,66,"68,59","22,40","9,01",0,0,0,0,0,112,46,0,0,63,20,0,0,,"41,07",,"31,75",,"0,41",16/09/2016 0:36:24,
2012,6102 - GRADO EN MATEMÁTICAS,6102,61022091,ÁLGEBRA (MATEMÁTICAS),113,6,678,678,0,0,156,138,156,"23,01","-14,87","88,46","10,89","58,97","12,26","20,35","-5,61","18,71","7,75","11,54","23,08","30,77","26,92","7,69",39,23,"71,68","22,12","6,19",0,0,0,0,0,25,12,0,0,14,11,0,0,,48,,"78,57",,"0,35",16/09/2016 0:36:24,
2012,6102 - GRADO EN MATEMÁTICAS,6102,61024090,AMPLIACIÓN DE TOPOLOGÍA,0,5,0,0,0,0,0,0,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/2016 0:36:24,
2012,6102 - GRADO EN MATEMÁTICAS,6102,61024032,AMPLIACIÓN DE VARIABLE COMPLEJA,0,5,0,0,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/2016 0:36:24,
2012,6102 - GRADO EN MATEMÁTICAS,6102,61023073,ANÁLISIS DE FOURIER Y ECUACIONES EN DERIVADAS PARCIALES,0,6,0,0,0,0,0,0,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/2016 0:36:24,
2012,6102 - GRADO EN MATEMÁTICAS,6102,61024173,ANÁLISIS MULTIVARIANTE (MATEMÁTICAS),0,5,0,0,0,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/2016 0:36:24,
2012,6102 - GRADO EN MATEMÁTICAS,6102,61022085,ANÁLISIS NUMÉRICO MATRICIAL E INTERPOLACIÓN,94,6,564,564,0,0,198,174,318,"35,11","29,89","87,88","10,17","69,05","31,45","30,85","43,09","36,05","7,17","12,12","42,42","27,27","9,09","9,09",42,29,"61,70","31,91","6,38",0,0,0,0,0,30,21,0,0,12,8,0,0,,70,,"66,67",,"0,45",16/09/2016 0:36:24,
2012,6102 - GRADO EN MATEMÁTICAS,6102,61044112,ASTROFÍSICA GENERAL,0,5,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/2016 0:36:24,
2012,6102 - GRADO EN MATEMÁTICAS,6102,61022033,CÁLCULO DE PROBABILIDADES I,133,6,798,798,0,0,234,150,372,"29,32","8,47","64,10","-19,64","36,23","-31,03","18,80","-12,8","31,79","6,69","35,90","41,03","17,95","5,13",0,69,25,"59,40","29,32","11,28",0,0,0,49,19,0,0,20,6,0,0,0,0,"38,78",,30,,,"0,52",16/09/2016 0:36:24,
2012,6102 - GRADO EN MATEMÁTICAS,6102,61023038,CÁLCULO DE PROBABILIDADES II,0,6,0,0,0,0,0,0,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/2016 0:36:24,
2012,6102 - GRADO EN MATEMÁTICAS,6102,61023050,CAMPOS Y FORMAS,0,6,0,0,0,0,0,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/2016 0:36:24,
2012,6102 - GRADO EN MATEMÁTICAS,6102,61024026,ESPACIOS NORMADOS,0,5,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/2016 0:36:24,
2012,6102 - GRADO EN MATEMÁTICAS,6102,61021045,ESTADÍSTICA BÁSICA,391,6,2346,1818,528,0,570,510,690,"24,30","-10,1","89,47","12,16","60,28","14,75","21,74",",83","22,73","7,99","10,53","29,47","22,11","22,11","15,79",141,85,"69,64","24,74","5,61",0,0,0,100,54,0,0,41,31,0,0,0,0,54,,"75,61",,,"0,36",16/09/2016 0:36:24,
2012,6102 - GRADO EN MATEMÁTICAS,6102,6102204-,ESTRUCTURAS ALGEBRAICAS,136,6,816,816,0,0,264,216,174,"32,35","19,68","81,82","2,57",60,"14,22","26,47","22,77","17,58","7,64","18,18","18,18","31,82","20,45","11,36",60,36,"62,77","30,66","6,57",0,0,0,43,27,0,0,17,9,0,0,0,0,"62,79",,"52,94",,,"0,44",16/09/2016 0:36:24,
2012,6102 - GRADO EN MATEMÁTICAS,6102,61021097,FÍSICA,317,6,1902,1530,372,0,324,258,1050,"17,03",-37,"79,63","-,18","46,74","-11,02","13,56","-37,11","35,57","6,59","20,37",50,"11,11","11,11","7,41",92,43,"75,08","20,82","4,10",0,0,0,0,0,65,27,0,0,27,16,0,0,,"41,54",,"59,26",,"0,29",16/09/2016 0:36:24,
2012,6102 - GRADO EN MATEMÁTICAS,6102,61044081,FÍSICA MATEMÁTICA,0,5,0,0,0,0,0,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/2016 0:36:24,
2012,6102 - GRADO EN MATEMÁTICAS,6102,61021022,FUNCIONES DE UNA VARIABLE I,369,6,2214,1836,378,0,522,438,1320,"23,58","-12,76","83,91","5,19","59,35","12,98","19,78","-8,26","37,35","6,76","16,09","48,28","20,69","8,05","6,90",123,73,"69,38","27,91","2,71",0,0,0,100,64,0,0,23,9,0,0,0,0,64,,"39,13",,,"0,33",16/09/2016 0:36:24,
2012,6102 - GRADO EN MATEMÁTICAS,6102,61021074,FUNCIONES DE UNA VARIABLE II,392,6,2352,1872,480,0,444,312,966,"18,88","-30,15","70,27","-11,91","44,44","-15,4","13,27","-38,45","29,11","7,05","29,73","31,08","18,92","5,41","14,86",117,52,"76,28","17,60","6,12",0,0,0,0,0,74,31,0,0,43,21,0,0,,"41,89",,"48,84",,"0,30",16/09/2016 0:36:24,
