"Curso Académico";"Código";"Asignatura";"Créd. asignatura";"Cuatrimestre";"Curso";"Tasa evaluación %";"Tasa éxito %";"Nota media";"Valoración Estud."
"2015-2016";"61021016";"ÁLGEBRA LINEAL I";"6";"1º";"1º";"28,95";"72,34";"7,20";"90,54"
"2015-2016";"61021068";"ÁLGEBRA LINEAL II";"6";"2º";"1º";"21,34";"75";"6,88";"92,81"
"2015-2016";"61022091";"ÁLGEBRA (MATEMÁTICAS)";"6";"2º";"2º";"33,52";"93,44";"7,87";"92,37"
"2015-2016";"61024090";"AMPLIACIÓN DE TOPOLOGÍA";"5";"2º";"4º";"51,72";"100";"8,33";"100"
"2015-2016";"61024032";"AMPLIACIÓN DE VARIABLE COMPLEJA";"5";"1º";"4º";"63,33";"89,47";"7,52";"75"
"2015-2016";"61023073";"ANÁLISIS DE FOURIER Y ECUACIONES EN DERIVADAS PARCIALES";"6";"2º";"3º";"44,19";"94,74";"7,99";"91,58"
"2015-2016";"61024173";"ANÁLISIS MULTIVARIANTE (MATEMÁTICAS)";"5";"2º";"4º";"53,33";"75";"6,51";""
"2015-2016";"61022085";"ANÁLISIS NUMÉRICO MATRICIAL E INTERPOLACIÓN";"6";"2º";"2º";"35,29";"77,08";"6,72";"68,06"
"2015-2016";"61044112";"ASTROFÍSICA GENERAL";"5";"2º";"4º";"50";"85";"7,63";"70,83"
"2015-2016";"61022033";"CÁLCULO DE PROBABILIDADES I";"6";"1º";"2º";"33,74";"53,01";"6,46";"73,96"
"2015-2016";"61023038";"CÁLCULO DE PROBABILIDADES II";"6";"1º";"3º";"42,24";"46,94";"6,84";"47,37"
"2015-2016";"61023050";"CAMPOS Y FORMAS";"6";"1º";"3º";"53,54";"94,34";"8,20";"86,46"
"2015-2016";"61024026";"ESPACIOS NORMADOS";"5";"2º";"4º";"28,57";"83,33";"7,28";"100"
"2015-2016";"61021045";"ESTADÍSTICA BÁSICA";"6";"1º";"1º";"23,84";"90,29";"8,19";"73,78"
"2015-2016";"6102204-";"ESTRUCTURAS ALGEBRAICAS";"6";"1º";"2º";"34,91";"81,08";"7,66";"87,96"
"2015-2016";"61021097";"FÍSICA";"6";"2º";"1º";"18,23";"64,29";"7,08";"64,29"
"2015-2016";"61044081";"FÍSICA MATEMÁTICA";"5";"1º";"4º";"20";"75";"7,80";""
"2015-2016";"61021022";"FUNCIONES DE UNA VARIABLE I";"6";"1º";"1º";"24,78";"76,32";"6,57";"70,17"
"2015-2016";"61021074";"FUNCIONES DE UNA VARIABLE II";"6";"2º";"1º";"21,03";"75,51";"7,84";"67,46"
"2015-2016";"61021080";"FUNCIONES DE VARIAS VARIABLES I";"6";"2º";"1º";"24,93";"85,56";"7,36";"72,82"
"2015-2016";"61022027";"FUNCIONES DE VARIAS VARIABLES II";"6";"1º";"2º";"55,80";"92,21";"6,66";"84,72"
"2015-2016";"61021105";"GEOMETRÍA BÁSICA";"6";"2º";"1º";"19,63";"84,92";"7,11";"68,82"
"2015-2016";"61024049";"GEOMETRÍA DIFERENCIAL";"5";"1º";"4º";"37,04";"100";"8,33";"66,67"
"2015-2016";"61023067";"GEOMETRÍA DIFERENCIAL DE CURVAS Y SUPERFICIES";"6";"2º";"3º";"28,92";"70,83";"6,48";"87,32"
"2015-2016";"61022010";"GEOMETRÍAS LINEALES";"6";"1º";"2º";"35,71";"62,86";"6,79";"98,61"
"2015-2016";"61022056";"HERRAMIENTAS INFORMÁTICAS PARA MATEMÁTICAS";"6";"1º";"2º";"43,79";"89,55";"7,64";"80,56"
"2015-2016";"61024109";"HISTORIA DE LAS MATEMÁTICAS";"5";"2º";"4º";"35,38";"100";"8,06";"75"
